Date;Fall Asleep;Wakeup;Sleep Duration;Sleep performance %;Respiratory rate (rpm);Asleep duration (min);In bed duration (min);Light sleep duration (min);Deep (SWS) duration (min);REM duration (min);Awake duration (min);Sleep need (min);Sleep debt (min);Sleep efficiency %;Sleep consistency %
24.05.2024;22:54:19;08:17:09; 09:22:50;85;14,1;510;562;335;75;100;52;602;127;93;70
23.05.2024;23:29:59;04:13:50; 04:43:51;47;13,9;262;283;174;52;36;21;560;38;93;79
22.05.2024;22:01:51;07:46:49; 09:44:58;90;13,7;516;584;363;85;68;68;577;87;88;74
21.05.2024;23:52:53;08:02:41; 08:09:48;70;14,1;415;488;200;101;114;73;590;66;85;71
20.05.2024;21:55:38;07:51:10; 09:55:32;84;14,1;542;595;347;94;101;53;645;127;91;63
19.05.2024;23:27:09;04:54:43; 05:27:34;50;13,8;306;327;203;61;42;21;615;84;93;80
18.05.2024;01:09:29;08:31:13; 07:21:44;70;14,2;389;439;239;81;69;50;558;10;88;65
17.05.2024;22:10:47;08:14:00; 10:03:13;97;15,1;520;603;334;73;113;83;537;8;87;92
16.05.2024;22:40:03;08:12:30; 09:32:27;97;13,6;516;572;349;80;87;56;530;27;90;89
15.05.2024;21:47:31;07:56:32; 10:09:01;93;13,5;530;602;388;114;28;72;572;38;89;
14.05.2024;22:44:12;08:28:12; 09:44:00;90;14,2;523;583;299;124;100;60;583;108;89;
05.05.2024;00:35:19;08:53:45; 08:18:26;73;14,6;457;498;245;74;138;41;625;76;92;56
03.05.2024;23:18:18;08:00:17; 08:41:59;80;13,6;484;521;245;111;128;37;603;127;93;63
02.05.2024;23:18:41;01:22:56; 02:04:15;19;13,3;107;124;73;23;11;17;568;86;86;76
01.05.2024;23:51:48;07:30:50; 07:39:02;71;13,8;419;454;214;89;116;35;591;48;92;84
30.04.2024;23:34:45;08:05:41; 08:30:56;86;13,9;465;510;299;115;51;45;541;2;93;83
29.04.2024;22:56:47;08:54:43; 09:57:56;99;13,6;555;597;353;108;94;42;558;74;92;
28.04.2024;00:50:39;08:34:58; 07:44:19;79;13,4;423;462;250;73;100;39;538;0;92;
23.04.2024;03:37:39;15:47:46; 12:10:07;100;14,3;635;730;361;125;149;95;506;127;87;33
22.04.2024;12:12:48;14:09:07; 01:56:19;16;14,8;99;116;76;7;16;17;604;127;85;
21.04.2024;00:40:40;05:46:50; 05:06:10;44;14,3;265;306;159;29;77;41;601;124;86;77
20.04.2024;23:19:53;07:11:53; 07:52:00;62;13,7;404;466;259;61;84;62;652;106;87;89
19.04.2024;23:12:38;06:40:07; 07:27:29;65;13,7;394;447;239;72;83;53;608;77;88;90
18.04.2024;23:07:47;07:56:08; 08:48:21;75;14,1;454;524;238;88;128;70;610;80;87;90
17.04.2024;22:49:58;07:21:03; 08:31:05;74;13,9;451;507;245;106;100;56;611;85;89;84
16.04.2024;22:34:29;07:14:42; 08:40:13;72;13,8;432;502;282;70;80;70;604;64;86;80
15.04.2024;23:13:48;07:50:56; 08:37:08;78;13,7;452;504;272;81;99;52;581;97;90;78
14.04.2024;23:07:36;07:35:59; 08:28:23;70;13,4;462;507;258;76;128;45;657;127;91;74
13.04.2024;03:29:57;08:04:37; 04:34:40;43;13,8;247;274;187;43;17;27;571;22;90;48
12.04.2024;22:35:45;07:59:14; 09:23:29;94;13,5;505;559;299;63;143;54;540;16;90;92
11.04.2024;22:30:34;08:14:05; 09:43:31;95;13,7;504;583;368;98;38;79;529;0;86;90
10.04.2024;22:16:01;07:58:38; 09:42:37;100;13,8;494;582;332;76;86;88;487;10;84;85
09.04.2024;23:17:59;08:39:16; 09:21:17;97;13,8;516;553;240;99;177;37;532;14;93;79
08.04.2024;22:11:47;07:49:01; 09:37:14;96;13,6;521;573;272;97;152;52;544;37;91;93
07.04.2024;22:35:18;08:05:47; 09:30:29;90;13,9;505;569;281;89;135;64;562;14;89;91
06.04.2024;21:58:44;07:52:20; 09:53:36;96;14,1;526;590;267;104;155;64;549;42;89;81
05.04.2024;22:24:38;08:07:01; 09:42:23;88;13,8;490;578;259;83;148;88;556;28;84;65
04.04.2024;22:04:53;07:01:57; 08:57:04;92;13,8;485;534;343;69;73;49;530;2;91;41
03.04.2024;22:46:30;07:57:20; 09:10:50;99;13,8;485;548;259;99;127;63;488;126;88;27
02.04.2024;05:35:11;07:54:05; 02:18:54;20;14,2;118;138;68;19;31;20;606;126;85;
01.04.2024;23:51:24;07:07:50; 07:16:26;62;14,1;406;434;277;63;66;28;659;120;93;28
31.03.2024;02:28:52;09:40:01; 07:11:09;60;13,9;355;431;183;61;111;76;597;67;85;56
30.03.2024;23:00:14;08:11:31; 09:11:17;83;13,3;513;551;306;98;109;38;618;91;93;83
29.03.2024;00:21:24;08:32:38; 08:11:14;70;13,5;421;491;281;64;76;70;604;103;86;85
28.03.2024;00:05:59;08:33:05; 08:27:06;74;13,4;449;507;211;76;162;58;610;90;92;80
26.03.2024;23:39:15;07:33:08; 07:53:53;75;14;434;473;168;92;174;39;574;56;91;87
25.03.2024;22:39:53;07:55:53; 09:16:00;85;13,5;506;554;313;103;90;48;593;100;91;91
