WorkoutType;WorkoutDay;Distance in km;PowerAverage;PowerMax;time;HeartRateAverage;HeartRateMax;TSS;HRZone1Minutes;HRZone2Minutes;HRZone3Minutes;HRZone4Minutes;HRZone5Minutes;PWRZone1Minutes;PWRZone2Minutes;PWRZone3Minutes;PWRZone4Minutes;PWRZone5Minutes;PWRZone6Minutes;time_standardized
Bike;2023-05-25;146,3345781;178;840;05:01:03;118;150;274,81;74;221;6;0;0;102;68;70;39;14;9;05:01:00
Bike;2023-05-26;240,9776406;207;669;07:48:28;125;162;557,03;67;306;75;21;0;125;93;89;78;58;24;07:48:00
MTB;2023-05-28;50,66389063;153;507;02:50:58;120;170;189,98;50;101;7;8;6;84;45;21;5;2;14;02:50:00
Strength;2023-05-29;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
Bike;2023-05-29;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-05-29;29,35805078;110;634;02:11:26;108;142;72,07;57;74;0;0;0;80;32;14;4;1;0;02:11:00
Bike;2023-05-30;93,07717969;177;805;03:55:33;118;170;299,67;60;162;7;6;2;83;70;46;23;5;9;03:55:00
Bike;2023-05-31;80,50309375;183;1282;03:08:14;115;155;233,62;75;81;32;0;0;73;36;23;27;19;11;03:08:00
Day Off;2023-06-01;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-06-02;23,7297207;167;696;01:20:12;120;158;78,55;22;50;8;1;0;30;14;19;10;4;2;01:20:00
Bike;2023-06-04;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-06-04;69,64564844;148;647;03:25:37;120;146;148,5;49;152;4;0;0;87;68;34;12;3;1;03:25:00
Day Off;2023-06-05;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-06-06;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-06-06;30,78718945;162;709;01:36:49;125;173;134,03;26;50;8;9;4;48;25;10;4;1;9;01:36:00
Day Off;2023-06-07;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-06-07;9,772530273;122;1045;00:47:14;113;138;28,44;17;30;0;0;0;24;17;5;1;0;0;00:47:00
MTB;2023-06-08;18,0960293;143;802;01:09:47;129;156;50,79;14;30;26;0;0;34;14;16;3;1;2;01:09:00
MTB;2023-06-08;0,527820007;160;496;00:28:31;131;166;24,4;2;19;5;2;0;14;9;1;3;1;1;00:28:00
MTB;2023-06-08;9,19;293;1273;00:22:07;171;179;49,02;0;1;0;0;21;9;1;1;1;1;10;00:22:00
MTB;2023-06-09;17,5000293;155;959;01:17:07;135;164;55,24;8;32;34;3;0;36;17;15;3;2;4;01:17:00
MTB;2023-06-10;26,35486914;139;1075;01:49:23;130;159;71,71;21;48;39;3;0;58;22;16;7;3;4;01:49:00
MTB;2023-06-11;0,555469971;153;551;00:31:31;131;167;26,48;4;17;7;3;0;17;6;6;1;0;1;00:31:00
MTB;2023-06-11;24,83382031;250;1214;01:17:34;167;178;138,49;0;0;0;18;59;30;6;5;6;6;25;01:17:00
MTB;2023-06-12;26,84001953;130;466;01:03:32;;;29,54;;;;;;41;18;3;1;0;0;01:03:00
MTB;2023-06-13;60,7025;134;490;02:32:23;114;145;81,78;45;106;1;0;0;85;50;10;5;1;1;02:32:00
MTB;2023-06-14;19,12355078;126;457;01:26:09;107;146;60,12;34;49;3;0;0;53;14;11;6;2;1;01:26:00
MTB;2023-06-15;0;;;00:30:00;;;;;;;;;;;;;;;00:30:00
MTB;2023-06-15;19,89548047;137;1154;00:46:50;114;141;22,95;11;36;0;0;0;32;13;1;1;0;0;00:46:00
MTB;2023-06-15;8,019200195;132;710;00:30:54;129;174;30,94;7;13;6;3;2;19;5;2;2;1;2;00:30:00
MTB;2023-06-15;6,956120117;256;1121;00:21:19;164;177;52,69;0;0;0;9;12;9;1;1;1;2;8;00:21:00
MTB;2023-06-15;0,856460022;168;397;00:31:51;133;164;28,39;3;20;7;3;0;14;8;5;2;2;1;00:31:00
MTB;2023-06-16;10,98223047;135;709;00:53:12;118;150;39,04;17;32;5;0;0;30;8;6;4;3;2;00:53:00
MTB;2023-06-17;23,9092793;170;883;01:28:02;131;166;90,74;9;47;22;9;0;40;17;11;7;4;8;01:28:00
MTB;2023-06-18;3,367719971;162;383;00:38:47;127;155;28,82;5;28;6;0;0;15;16;6;1;0;0;00:38:00
MTB;2023-06-18;20,3555293;252;1073;01:13:56;162;175;159,25;1;0;6;38;29;28;4;4;5;7;27;01:13:00
Strength;2023-06-19;0;;;00:40:00;;;;;;;;;;;;;;;00:40:00
Run;2023-06-19;0;;;00:33:00;;;;;;;;;;;;;;;00:33:00
Run;2023-06-20;5,664540039;;;00:35:36;139;155;43,73;0;17;18;0;0;;;;;;;00:35:00
MTB;2023-06-20;38,74728906;;;01:29:11;123;174;76,61;25;47;6;4;7;;;;;;;01:29:00
MTB;2023-06-21;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-06-21;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-06-21;23,88838086;0;0;01:03:04;118;162;47,18;20;35;6;2;0;;;;;;;01:03:00
Bike;2023-06-21;49,47837109;185;523;01:57:18;115;157;154,39;47;46;20;6;0;44;19;14;19;10;12;01:57:00
Run;2023-06-22;7,429640137;;;01:05:14;125;168;47,92;21;28;7;7;2;;;;;;;01:05:00
Bike;2023-06-22;29,70000977;166;466;01:12:38;116;142;64,14;22;50;0;0;0;24;15;25;8;0;0;01:12:00
Day Off;2023-06-23;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Strength;2023-06-24;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
MTB;2023-06-24;40,08835938;187;548;02:27:20;117;165;191,01;48;78;19;3;0;53;20;22;24;14;14;02:27:00
MTB;2023-06-25;32,74511914;155;667;02:03:17;118;175;223,84;46;55;5;8;10;71;24;8;3;1;18;02:03:00
Run;2023-06-25;7,502529785;;;00:43:15;137;162;65,19;1;24;15;3;0;;;;;;;00:43:00
Bike;2023-06-27;39,58132813;158;1266;02:18:07;116;157;194,14;47;79;11;1;0;75;35;16;4;2;6;02:18:00
Run;2023-06-27;3,473060059;;;00:22:05;131;153;30,98;2;13;7;0;0;;;;;;;00:22:00
Bike;2023-06-28;10,27683008;133;458;00:27:55;113;138;15,65;9;19;0;0;0;17;6;3;1;1;0;00:27:00
Bike;2023-06-29;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-06-29;33,03255859;145;771;01:21:33;120;160;64,77;19;52;9;2;0;45;18;7;6;3;3;01:21:00
MTB;2023-06-29;0,342679993;4;185;00:26:36;142;168;0,52;0;12;11;4;0;27;0;0;0;0;0;00:26:00
MTB;2023-06-29;8,437150391;116;954;00:21:33;173;181;32,68;0;1;0;0;21;15;2;1;1;1;2;00:21:00
MTB;2023-06-29;10,3107998;7;215;00:30:46;128;150;0,49;3;22;6;0;0;31;0;0;0;0;0;00:30:00
Bike;2023-06-30;12,92358984;;;01:01:36;133;163;56,32;5;32;22;3;0;;;;;;;01:01:00
Bike;2023-07-01;22,03133984;33;940;01:26:39;134;168;8,72;14;30;25;17;0;81;3;1;1;0;0;01:26:00
MTB;2023-07-02;22,18310938;85;891;01:15:37;167;179;24,56;0;1;1;18;56;59;7;3;3;1;3;01:15:00
MTB;2023-07-02;2,551679932;1;137;00:40:26;126;160;0,04;6;25;7;2;0;41;0;0;0;0;0;00:40:00
MTB;2023-07-02;6,860419922;3;219;00:22:20;122;141;0,07;3;19;0;0;0;22;0;0;0;0;0;00:22:00
MTB;2023-07-02;6,860419922;3;219;00:22:20;122;141;0,07;3;19;0;0;0;22;0;0;0;0;0;00:22:00
MTB;2023-07-03;26,89289063;214;761;00:58:25;124;148;65,53;5;52;1;0;0;11;14;18;11;3;2;00:58:00
MTB;2023-07-04;52,08960156;195;1021;02:15:24;124;161;187,63;25;90;11;9;0;45;26;28;11;6;19;02:15:00
MTB;2023-07-05;11,77538965;145;1248;00:34:50;110;144;22,54;12;22;0;0;0;17;11;4;2;0;1;00:34:00
MTB;2023-07-06;27,86574023;199;1101;01:27:32;134;169;110,19;8;42;27;9;0;37;14;11;7;4;15;01:27:00
MTB;2023-07-07;11,39825977;170;1332;00:28:48;114;144;25,91;8;21;0;0;0;11;11;5;1;0;1;00:28:00
MTB;2023-07-07;8,047120117;201;589;00:37:38;132;161;46,15;1;28;7;1;0;10;10;5;7;3;2;00:37:00
MTB;2023-07-07;3,672689941;286;1345;00:11:40;170;180;35,52;0;1;0;0;11;6;0;0;0;0;4;00:11:00
MTB;2023-07-08;19,11759961;171;1339;01:06:21;122;156;70,16;16;39;11;0;0;32;11;8;5;3;8;01:06:00
MTB;2023-07-09;11,98758008;169;429;00:29:09;113;138;23,45;9;20;0;0;0;11;9;6;3;0;0;00:29:00
MTB;2023-07-09;10,39741992;225;788;00:42:11;129;163;58,58;2;35;4;1;0;7;10;13;6;4;2;00:42:00
MTB;2023-07-09;25,95868945;289;1151;01:17:53;165;177;207,97;0;0;1;32;45;35;4;3;3;3;30;01:17:00
Run;2023-07-11;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
MTB;2023-07-12;31,4554707;174;704;01:49:11;121;173;186,94;34;58;6;7;5;50;20;15;6;3;15;01:49:00
Run;2023-07-12;3,554459961;;;00:24:21;128;151;25,88;3;18;3;0;0;;;;;;;00:24:00
MTB;2023-07-13;31,75956055;154;1144;02:03:43;115;143;106,77;42;82;1;0;0;56;23;23;16;4;2;02:03:00
Strength;2023-07-13;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Strength;2023-07-13;0;;;00:45:00;;;;;;;;;;;;;;;00:45:00
MTB;2023-07-14;0;;;02:43:60;;;;;;;;;;;;;;;02:43:00
Run;2023-07-14;4,792129883;;;00:31:02;127;152;34,93;2;26;3;0;0;;;;;;;00:31:00
Day Off;2023-07-15;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-07-16;51,71348828;177;1735;02:43:02;121;164;264,11;40;101;19;3;0;79;39;21;10;5;10;02:43:00
MTB;2023-07-17;29,65806055;176;1090;01:49:11;124;175;206,57;27;64;3;5;9;49;17;17;7;3;16;01:49:00
MTB;2023-07-17;15,25046973;148;594;01:02:49;120;142;51,51;14;48;0;0;0;28;13;12;8;2;0;01:02:00
Day Off;2023-07-18;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Run;2023-07-18;3,576179932;;;00:22:39;131;152;28,48;1;18;4;0;0;;;;;;;00:22:00
MTB;2023-07-19;34,95680078;178;774;01:58:14;121;158;161,73;39;46;26;7;0;48;13;16;15;13;13;01:58:00
Run;2023-07-19;3,856709961;;;00:23:18;128;144;29,36;3;18;2;0;0;;;;;;;00:23:00
MTB;2023-07-20;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-07-21;20,00725977;150;2385;01:21:43;120;166;88,04;24;48;6;3;0;45;11;8;7;3;7;01:21:00
MTB;2023-07-22;5,503399902;127;871;00:20:59;;;12,21;;;;;;14;4;2;1;0;1;00:20:00
MTB;2023-07-22;5,17797998;235;1043;00:37:27;137;174;56,58;1;24;7;4;1;7;9;8;6;4;4;00:37:00
MTB;2023-07-22;29,66132031;285;1505;01:27:09;164;180;243,2;0;1;7;36;44;34;3;3;4;5;38;01:27:00
Bike;2023-07-23;27,93709961;;;01:08:39;116;137;45,09;16;53;0;0;0;;;;;;;01:08:00
Bike;2023-07-24;86,64640625;;;03:22:23;126;151;158,95;36;138;29;0;0;;;;;;;03:22:00
MTB;2023-07-25;50,00589063;164;1319;03:15:43;119;147;76,56;46;147;3;0;0;169;11;6;3;1;7;03:15:00
Run;2023-07-25;4,716660156;;;00:33:19;137;152;45,18;20;6;8;0;0;;;;;;;00:33:00
Strength;2023-07-26;0;;;00:40:00;;;;;;;;;;;;;;;00:40:00
Bike;2023-07-26;54,55787109;;;03:44:31;115;140;151,16;65;160;0;0;0;;;;;;;03:44:00
Day Off;2023-07-27;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-07-27;18,95756055;;;00:59:31;;;;;;;;;;;;;;;00:59:00
Strength;2023-07-28;0;;;01:10:00;;;;;;;;;;;;;;;01:10:00
Bike;2023-07-28;32,25396094;169;1327;02:02:34;122;161;147,1;26;86;10;2;0;51;29;24;11;3;4;02:02:00
Run;2023-07-28;4,518620117;;;00:24:21;140;162;38,75;0;11;11;2;0;;;;;;;00:24:00
Bike;2023-07-29;57,04296875;157;1062;04:00:01;120;146;209,78;55;183;3;0;0;104;43;47;31;9;6;04:00:00
Bike;2023-07-30;50,90507031;165;1241;02:56:18;122;172;260,92;36;130;5;3;3;72;38;40;14;4;9;02:56:00
MTB;2023-07-30;13,97324023;93;840;01:02:17;111;139;30,65;24;38;0;0;0;44;9;4;2;1;2;01:02:00
